Sample,B cells,CD4 Naive,CD4 Memory,CD8 Naive,CD8 Memory,CD8 Effector,Treg cell,Th cell,Monocytes CD16,Monocytes CD14,DC,pDC,NK,Plasma,Step1,Step2,Step3,Step4.T cell.recruiting,Step4.CD4 T cell.recruiting,Step4.CD8 T cell.recruiting,Step4.Th1 cell.recruiting,Step4.Dendritic cell.recruiting,Step4.Th22 cell.recruiting,Step4.Macrophage.recruiting,Step4.Monocyte.recruiting,Step4.Neutrophil.recruiting,Step4.NK cell.recruiting,Step4.Eosinophil.recruiting,Step4.Basophil.recruiting,Step4.Th17 cell.recruiting,Step4.B cell.recruiting,Step4.Th2 cell.recruiting,Step4.Treg cell.recruiting,Step4.MDSC.recruiting,Step5,Step6,Step7
TCGA.C5.A1M9.01A.11R.A13Y.07,0.002150784,0,0.379418196,0.002265612,0,0.005069786,0,0.355872441,0.058303949,0,0.106471194,0.088407549,0.002027807,1.27E-05,4.903,-1.331,-3.154,-0.516,0.962,1.686,0.871,-1.054,1.045,1.131,1.151,0.695,1.855,-1.195,-0.877,1.105,-1.105,-1.396,-0.701,0.331,-0.897,1.997,-0.631
TCGA.C5.A1MJ.01A.11R.A14Y.07,0.031113462,0.264895985,0.055639048,0,0.025365093,0.00880268,0,0.360624257,0,0,0.058661786,0.194897687,0,0,4.889,-1.024,-2.31,0.104,0.266,0.934,0.466,0.726,0.869,1.51,0.126,1.025,1.265,-1.051,-0.397,-0.165,-0.704,-0.26,-1.334,-0.094,-0.203,2.219,-1.687
TCGA.C5.A2LS.01A.22R.A22U.07,0,0.375108985,0.249743672,0,0,0.00974935,0,0.109848866,0,0.013720573,0.029169337,0.212402024,0,0.000257193,4.434,-0.983,-4.043,-0.376,0.513,-0.644,-0.586,0.445,-0.136,-1.066,-1.028,4.078,0.21,-1.79,-1.081,-0.308,-0.141,-0.965,-1.914,-0.446,-0.199,1.763,0.662
TCGA.C5.A2M1.01A.11R.A18M.07,0.103272824,0.044794205,0.259946761,0,0,0.017791155,0,0.289375838,0,0,0.127643471,0.150156362,0.007019384,0,5.016,-0.64,0.453,1.408,0.212,1.311,1.687,0.631,0.234,2.404,-0.645,-0.754,2.56,-0.902,-0.979,-1.17,-0.034,-1.235,-1.194,-0.862,-0.114,-0.111,0.431
TCGA.C5.A2M2.01A.21R.A18M.07,0,0.19576673,0.352481489,0,0,0.000907348,0,0.193265802,0,0,0.026405985,0.229871279,0,0.001301368,4.91,-1.135,-4.686,0.381,0.662,-0.245,-0.04,0.701,-0.771,-0.97,-0.911,1.942,-1.145,-1.672,-1.609,-1.34,0.303,-1.535,-1.363,-1,-0.432,-1.625,0.976
TCGA.C5.A3HF.01A.11R.A213.07,0.085054906,0.165777056,0.156179073,0,0.007379505,0.005263673,0,0.333015439,0.013518053,0,0.018313702,0.215498594,0,0,5.259,-0.07,-1.033,1.278,1.93,2.144,1.411,0.251,-0.839,0.05,-0.384,2.216,1.659,-1.64,-0.723,-0.091,1.19,-0.082,-0.233,0.869,-1.226,0.554,0.853
TCGA.C5.A7CM.01A.11R.A33Z.07,0.003391035,0.065466987,0.305653339,0,0,0,0,0.248479197,0.000257763,0,0.156773994,0.209602725,0.006469981,0.00390498,4.513,-0.904,-1.434,-1.337,1.24,-0.001,-1.619,0.841,-1.387,-0.884,0.516,2.252,-1.119,-1.833,-1.207,-0.437,-0.129,-1.011,-0.293,-0.153,-0.623,0.035,1.185
TCGA.EA.A4BA.01A.21R.A26T.07,0,0,0.38270966,0,0,0.010175717,0.034688644,0.361518972,0,0,0.138164199,0.069209175,0.001820209,0.001713424,4.322,-0.354,-2.293,-1.582,-1.434,-0.022,-3.001,-1.38,-0.483,0.622,-0.083,-0.965,-1.65,-1.657,-2.039,0.518,0.884,-1.391,-2.519,-0.86,-1.316,3.919,-1.058
TCGA.EA.A556.01A.11R.A26T.07,0,0.061506715,0.167391086,0,0,0.0133015,0,0.478765282,0,0.079082999,0,0.19221718,0.005968167,0.00176707,4.704,0.184,-3.671,1.012,-0.595,-0.143,-0.298,1.015,0.147,0.734,0.602,-0.867,0.185,-0.621,-1.625,-0.353,1.388,-2.049,-2.541,-0.148,0.4,-0.55,1.67
TCGA.EK.A2RL.01A.11R.A18M.07,0,0.291189866,0.296965301,0,0,0.009616679,0,0.178508558,0,0.023472769,0.005875657,0.194017589,0,0.000353581,4.378,-0.205,-3.915,-1.23,-0.201,-1.181,-0.727,-0.036,-1.142,0.904,0.607,3.407,0.398,-2.189,-1.421,-0.587,-0.651,-1.395,-1.537,0.096,-0.522,2.132,-0.325
