"","TCGA.C5.A1M9.01A.11R.A13Y.07","TCGA.C5.A1ME.01A.11R.A13Y.07","TCGA.C5.A1MJ.01A.11R.A14Y.07","TCGA.C5.A2LS.01A.22R.A22U.07","TCGA.C5.A2M1.01A.11R.A18M.07","TCGA.C5.A2M2.01A.21R.A18M.07","TCGA.C5.A3HF.01A.11R.A213.07","TCGA.C5.A7CM.01A.11R.A33Z.07","TCGA.C5.A7X8.01A.11R.A36F.07","TCGA.DG.A2KH.01A.21R.A22U.07","TCGA.DS.A7WH.01A.22R.A352.07","TCGA.EA.A4BA.01A.21R.A26T.07","TCGA.EA.A556.01A.11R.A26T.07","TCGA.EK.A2RL.01A.11R.A18M.07","TCGA.EK.A3GK.01A.11R.A213.07","TCGA.EK.A3GM.01A.11R.A213.07","TCGA.EX.A1H6.01B.11R.A22U.07","TCGA.EX.A449.01A.11R.A32Y.07","TCGA.FU.A3EO.01A.11R.A213.07","TCGA.FU.A40J.01A.11R.A24H.07","TCGA.FU.A57G.01A.11R.A26T.07","TCGA.FU.A770.01A.11R.A33Z.07","TCGA.IR.A3LA.01A.11R.A22U.07","TCGA.IR.A3LB.01A.11R.A24H.07","TCGA.IR.A3LF.01A.21R.A22U.07","TCGA.IR.A3LI.01A.11R.A32Y.07","TCGA.JW.A69B.01A.11R.A32P.07","TCGA.JX.A3Q8.01A.11R.A21T.07","TCGA.LP.A5U2.01A.11R.A28H.07","TCGA.LP.A7HU.01A.11R.A33Z.07","TCGA.Q1.A5R1.01A.11R.A28H.07","TCGA.Q1.A6DV.01A.11R.A32P.07","TCGA.Q1.A73P.01A.11R.A32P.07","TCGA.Q1.A73R.01A.11R.A33Z.07","TCGA.UC.A7PI.01A.11R.A42S.07","TCGA.VS.A8QH.01A.11R.A37O.07","TCGA.VS.A952.01A.11R.A38B.07","TCGA.VS.A9UO.01A.11R.A42T.07","TCGA.VS.A9UP.01A.11R.A42T.07","TCGA.VS.A9UQ.01A.21R.A42T.07","TCGA.VS.A9UR.01A.11R.A42T.07","TCGA.VS.A9UT.01A.11R.A42T.07","TCGA.VS.A9UZ.01A.11R.A42T.07","TCGA.VS.A9V0.01A.11R.A42T.07","TCGA.VS.A9V1.01A.11R.A42T.07","TCGA.VS.A9V4.01A.12R.A42T.07","TCGA.VS.A9V5.01A.11R.A42T.07","TCGA.ZJ.AAXB.01A.11R.A42T.07"
"ENSG00000000003.13",4444,1490,6896,12836,5651,5448,4646,5349,1635,4445,1757,8201,8628,7026,5677,6368,3786,4879,3036,4134,4422,1969,3220,10190,6236,3830,7669,9424,2079,4120,6313,5167,3196,6797,6132,4561,3511,2851,2978,2981,1869,1697,2264,3159,939,6460,3579,1290
"ENSG00000000419.11",5639,2617,3256,1758,5919,2113,2449,2574,1696,3644,2328,1661,3245,4202,6225,5928,1806,2452,1469,2418,1927,1764,5607,3556,2871,832,3053,3103,2933,3046,2300,2545,3026,3264,2921,3249,1615,4595,1739,1726,1269,1164,2241,784,1505,1807,1409,2097
"ENSG00000000457.12",1063,453,1666,1825,1189,1324,1553,611,465,1314,713,589,824,1559,1444,1832,548,1032,251,1999,747,551,997,1270,1601,557,1183,842,1042,891,686,1028,1061,1609,1391,436,978,1633,977,926,625,301,487,345,564,390,987,394
"ENSG00000000460.15",1466,327,2107,1541,1684,925,1012,494,456,1284,1562,412,547,1550,1357,1474,365,1176,295,1434,271,622,709,912,1009,287,674,772,1235,885,488,764,587,2040,750,337,627,1073,1057,559,535,211,397,332,404,365,728,354
"ENSG00000000938.11",355,181,1303,239,511,84,332,177,365,295,341,47,124,200,838,164,331,210,252,733,343,661,264,323,568,118,774,280,146,418,316,1493,248,214,170,115,142,104,117,714,218,1103,301,29,592,128,194,41
"ENSG00000000971.14",2299,935,1891,10980,5858,19373,6919,1073,844,259,2067,957,2912,14290,6966,1282,2501,445,467,12989,7339,649,757,5618,947,477,7270,7480,931,1098,1861,5420,2944,2742,2711,131,578,2929,204,4825,295,1990,428,581,886,134,1432,208
"ENSG00000001036.12",9472,5004,11051,5488,11335,7040,3380,10893,4192,6427,4048,3182,3978,11425,6141,5394,3079,8027,4739,4446,2141,5072,2913,9113,5195,2754,10047,7825,2579,2414,5122,3954,5241,5955,5626,5195,6809,8184,2361,4168,2900,2530,3179,2405,2899,2276,3209,880
"ENSG00000001084.9",1871,504,2235,880,8849,2057,1509,1406,683,1499,779,451,2322,1008,2917,1402,484,424,229,1405,1123,962,1969,3148,1104,449,4148,789,2485,2807,1192,1181,752,2415,821,2754,67,1187,8037,1247,737,740,401,517,249,1761,988,10529
"ENSG00000001167.13",3715,749,3060,1572,4387,2679,2753,1268,977,2051,2768,2062,2649,3040,1990,3729,987,1505,598,1471,3791,2416,2787,2698,2660,942,2665,1208,1628,1314,1379,1801,944,3459,1383,1535,1904,2091,1378,1410,2030,2012,915,1452,807,1054,1426,771
"ENSG00000001460.16",1196,565,409,1372,1023,1523,631,306,520,1298,1103,472,296,1585,1209,690,1420,866,213,1586,446,1006,1078,956,825,651,1174,515,574,547,1319,2859,494,1384,1164,493,340,472,431,2181,308,330,784,298,493,172,215,171
