X,TCGA.C5.A1M9.01A.11R.A13Y.07,TCGA.C5.A1MJ.01A.11R.A14Y.07,TCGA.C5.A2LS.01A.22R.A22U.07,TCGA.C5.A2M1.01A.11R.A18M.07,TCGA.C5.A2M2.01A.21R.A18M.07,TCGA.C5.A3HF.01A.11R.A213.07,TCGA.C5.A7CM.01A.11R.A33Z.07,TCGA.EA.A4BA.01A.21R.A26T.07,TCGA.EA.A556.01A.11R.A26T.07,TCGA.EK.A2RL.01A.11R.A18M.07,TCGA.EK.A3GK.01A.11R.A213.07,TCGA.EK.A3GM.01A.11R.A213.07,TCGA.EX.A1H6.01B.11R.A22U.07,TCGA.EX.A449.01A.11R.A32Y.07,TCGA.FU.A40J.01A.11R.A24H.07,TCGA.FU.A57G.01A.11R.A26T.07,TCGA.FU.A770.01A.11R.A33Z.07,TCGA.IR.A3LA.01A.11R.A22U.07,TCGA.IR.A3LB.01A.11R.A24H.07,TCGA.IR.A3LF.01A.21R.A22U.07,TCGA.IR.A3LI.01A.11R.A32Y.07,TCGA.Q1.A5R1.01A.11R.A28H.07,TCGA.Q1.A6DV.01A.11R.A32P.07,TCGA.Q1.A73P.01A.11R.A32P.07,TCGA.VS.A8QH.01A.11R.A37O.07,TCGA.VS.A952.01A.11R.A38B.07,TCGA.VS.A9UP.01A.11R.A42T.07,TCGA.VS.A9UQ.01A.21R.A42T.07,TCGA.VS.A9UR.01A.11R.A42T.07,TCGA.VS.A9UZ.01A.11R.A42T.07,TCGA.VS.A9V0.01A.11R.A42T.07,TCGA.VS.A9V1.01A.11R.A42T.07,TCGA.VS.A9V5.01A.11R.A42T.07
ENSG00000000003.13,4444,6896,12836,5651,5448,4646,5349,8201,8628,7026,5677,6368,3786,4879,4134,4422,1969,3220,10190,6236,3830,6313,5167,3196,4561,3511,2978,2981,1869,2264,3159,939,3579
ENSG00000000419.11,5639,3256,1758,5919,2113,2449,2574,1661,3245,4202,6225,5928,1806,2452,2418,1927,1764,5607,3556,2871,832,2300,2545,3026,3249,1615,1739,1726,1269,2241,784,1505,1409
ENSG00000000457.12,1063,1666,1825,1189,1324,1553,611,589,824,1559,1444,1832,548,1032,1999,747,551,997,1270,1601,557,686,1028,1061,436,978,977,926,625,487,345,564,987
ENSG00000000460.15,1466,2107,1541,1684,925,1012,494,412,547,1550,1357,1474,365,1176,1434,271,622,709,912,1009,287,488,764,587,337,627,1057,559,535,397,332,404,728
ENSG00000000938.11,355,1303,239,511,84,332,177,47,124,200,838,164,331,210,733,343,661,264,323,568,118,316,1493,248,115,142,117,714,218,301,29,592,194
ENSG00000000971.14,2299,1891,10980,5858,19373,6919,1073,957,2912,14290,6966,1282,2501,445,12989,7339,649,757,5618,947,477,1861,5420,2944,131,578,204,4825,295,428,581,886,1432
ENSG00000001036.12,9472,11051,5488,11335,7040,3380,10893,3182,3978,11425,6141,5394,3079,8027,4446,2141,5072,2913,9113,5195,2754,5122,3954,5241,5195,6809,2361,4168,2900,3179,2405,2899,3209
ENSG00000001084.9,1871,2235,880,8849,2057,1509,1406,451,2322,1008,2917,1402,484,424,1405,1123,962,1969,3148,1104,449,1192,1181,752,2754,67,8037,1247,737,401,517,249,988
ENSG00000001167.13,3715,3060,1572,4387,2679,2753,1268,2062,2649,3040,1990,3729,987,1505,1471,3791,2416,2787,2698,2660,942,1379,1801,944,1535,1904,1378,1410,2030,915,1452,807,1426
ENSG00000001460.16,1196,409,1372,1023,1523,631,306,472,296,1585,1209,690,1420,866,1586,446,1006,1078,956,825,651,1319,2859,494,493,340,431,2181,308,784,298,493,215
